frame_idx,elapsed_s,timestamp_iso,detected_posture,display_label,frame_state,confidence,deviation_score,duration_in_state_s,cheek_distance,eye_distance,shoulder_width,eye_line_tilt,shoulder_tilt_deg,eye_symmetry_ratio,cheek_symmetry_ratio,chin_alignment_offset,hand_face_score,chin_occlusion,cheek_distance_pct,eye_distance_pct,eye_line_tilt_delta_deg,shoulder_width_pct,candidates_json
0,0.0,2026-05-26T11:13:31.542412,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.188609,0.119821,0.401518,-3.988,-7.9532,0.124183,0.095436,0.001563,0.0,0.0,-1.99,-1.85,-2.07,5.42,[]
1,0.044,2026-05-26T11:13:31.542412,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.188625,0.119833,0.401533,-3.9874,-7.9522,0.124155,0.095437,0.014817,0.0,0.0,-1.98,-1.84,-2.07,5.43,[]
2,0.232,2026-05-26T11:13:31.542412,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.18867,0.119866,0.401574,-3.986,-7.9505,0.124093,0.095462,0.012427,0.0,0.0,-1.96,-1.81,-2.07,5.44,[]
3,0.438,2026-05-26T11:13:31.542412,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.188752,0.119924,0.40165,-3.9834,-7.9468,0.124023,0.095516,0.012366,0.0,0.0,-1.92,-1.77,-2.07,5.46,[]
4,0.635,2026-05-26T11:13:31.542412,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.188875,0.120011,0.401766,-3.9795,-7.9416,0.123945,0.095603,0.012293,0.0,0.0,-1.85,-1.7,-2.06,5.49,[]
5,0.824,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.189041,0.120128,0.401927,-3.9741,-7.9308,0.12387,0.095727,0.012991,0.0,0.0,-1.77,-1.6,-2.06,5.53,[]
6,1.032,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.189252,0.120277,0.402134,-3.9671,-7.9143,0.123774,0.095864,0.012897,0.0,0.0,-1.66,-1.48,-2.05,5.59,[]
7,1.233,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.189505,0.120457,0.402389,-3.9584,-7.8918,0.12366,0.096003,0.012796,0.0,0.0,-1.53,-1.33,-2.04,5.65,[]
8,1.426,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.189801,0.120666,0.402691,-3.948,-7.8635,0.123545,0.096133,0.012688,0.0,0.0,-1.37,-1.16,-2.03,5.73,[]
9,1.817,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.190221,0.120966,0.402782,-3.9333,-7.8296,0.123258,0.09639,0.011681,0.0,0.0,-1.16,-0.91,-2.02,5.76,[]
10,2.023,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.190665,0.121283,0.402827,-3.9179,-7.7898,0.123155,0.096523,0.011565,0.0,0.0,-0.92,-0.65,-2.0,5.77,[]
11,2.216,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.191132,0.121617,0.402855,-3.9018,-7.7464,0.123086,0.096675,0.010668,0.0,0.0,-0.68,-0.38,-1.98,5.78,[]
12,2.406,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.191621,0.121966,0.402887,-3.8852,-7.7,0.12303,0.096845,0.010551,0.0,0.0,-0.43,-0.09,-1.97,5.78,[]
13,2.622,2026-05-26T11:13:31.543423,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.192127,0.122327,0.402939,-3.8686,-7.651,0.122997,0.097032,0.010435,0.0,0.0,-0.16,0.2,-1.95,5.8,[]
14,2.804,2026-05-26T11:13:31.544931,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.192649,0.1227,0.40302,-3.8518,-7.5998,0.122984,0.097221,0.010317,0.0,0.0,0.11,0.51,-1.93,5.82,[]
15,3.016,2026-05-26T11:13:31.544931,neutral,바른 자세,NORMAL,1.0,0.0,0.0,0.193186,0.123085,0.403136,-3.8352,-7.546,0.122962,0.097393,0.010197,0.0,0.0,0.39,0.82,-1.92,5.85,[]
